trip duration,start time,stop time,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,user type,birth year,gender,start date,start time,end date,end time
00:08:42,2021-01-01 11:58:56.7220,2021-01-01 12:07:39.1840,3203,Hamilton Park,40.727595965999996,-74.044247311,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,38641,Customer,1986,male,2021-01-01,11:58:56.722000,2021-01-01,12:07:39.184000
00:19:03,2021-01-01 12:00:01.8210,2021-01-01 12:19:05.7550,3184,Paulus Hook,40.7141454,-74.0335519,3638,Washington St,40.7242941,-74.0354826,48857,Subscriber,1962,male,2021-01-01,12:00:01.821000,2021-01-01,12:19:05.755000
00:16:19,2021-01-01 12:03:45.1290,2021-01-01 12:20:05.1130,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3639,Harborside,40.71925170000001,-74.034234,41992,Customer,1969,unknown,2021-01-01,12:03:45.129000,2021-01-01,12:20:05.113000
00:06:52,2021-01-01 12:05:34.8870,2021-01-01 12:12:27.4030,3191,Union St,40.71821129999999,-74.08363940000001,3191,Union St,40.71821129999999,-74.08363940000001,38139,Subscriber,2002,male,2021-01-01,12:05:34.887000,2021-01-01,12:12:27.403000
00:11:22,2021-01-01 12:09:33.3900,2021-01-01 12:20:55.6990,3195,Sip Ave,40.73089709786179,-74.06391263008119,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,42342,Customer,1969,unknown,2021-01-01,12:09:33.390000,2021-01-01,12:20:55.699000
00:13:29,2021-01-01 12:11:25.6550,2021-01-01 12:24:55.2210,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3193,Lincoln Park,40.7246050998869,-74.07840594649316,39421,Customer,1979,male,2021-01-01,12:11:25.655000,2021-01-01,12:24:55.221000
00:12:35,2021-01-01 12:15:19.4990,2021-01-01 12:27:54.9620,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,3195,Sip Ave,40.73089709786179,-74.06391263008119,45352,Customer,1993,male,2021-01-01,12:15:19.499000,2021-01-01,12:27:54.962000
00:22:47,2021-01-01 12:18:46.0270,2021-01-01 12:41:33.6220,3191,Union St,40.71821129999999,-74.08363940000001,3206,Hilltop,40.7311689,-74.0575736,33887,Subscriber,2002,male,2021-01-01,12:18:46.027000,2021-01-01,12:41:33.622000
00:17:05,2021-01-01 12:20:09.2330,2021-01-01 12:37:15.0650,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42838,Subscriber,1962,male,2021-01-01,12:20:09.233000,2021-01-01,12:37:15.065000
01:52:53,2021-01-01 12:23:21.1060,2021-01-01 14:16:14.2680,3639,Harborside,40.71925170000001,-74.034234,4069,Cabrini Blvd & W 177 St,40.848282,-73.941343,29718,Customer,1969,unknown,2021-01-01,12:23:21.106000,2021-01-01,14:16:14.268000
00:19:56,2021-01-01 12:28:37.0030,2021-01-01 12:48:33.5430,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,40440,Subscriber,1996,male,2021-01-01,12:28:37.003000,2021-01-01,12:48:33.543000
00:21:50,2021-01-01 12:39:52.9240,2021-01-01 13:01:43.0540,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3638,Washington St,40.7242941,-74.0354826,42838,Subscriber,1962,male,2021-01-01,12:39:52.924000,2021-01-01,13:01:43.054000
00:56:59,2021-01-01 12:43:15.8760,2021-01-01 13:40:15.4760,3206,Hilltop,40.7311689,-74.0575736,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,47257,Subscriber,2002,male,2021-01-01,12:43:15.876000,2021-01-01,13:40:15.476000
00:12:05,2021-01-01 12:51:51.3900,2021-01-01 13:03:56.4750,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3187,Warren St,40.721123600000006,-74.03805095,30303,Customer,1969,unknown,2021-01-01,12:51:51.390000,2021-01-01,13:03:56.475000
